DATE,APP,CATEGORY,DAU Real,MAU Real,Stickiness Real,preds_dau,preds_mau,Stickiness Preds
2021-10-08 00:00:00,Cartão de crédito Carrefour,FINANCE,476703,2363149,0.2017236323228032,403221,2192985,0.18386856271246727
2021-10-08 00:00:00,Casas Bahia: Comprar Online,SHOPPING,1162192,9395226,0.12370027075453001,1112375,9266285,0.1200454119423264
2021-10-08 00:00:00,Catho: oportunidades e emprego,OTHERS,37020,271721,0.1362426901122843,44017,261799,0.1681328041741947
2021-10-08 00:00:00,"Centauro: Loja de roupas, tênis, chuteira, calçado",SHOPPING,214051,1728943,0.12380454416368845,221222,1748162,0.12654548033877866
2021-10-08 00:00:00,Destinos CVC: pacotes e hotéis,TRAVEL_AND_LOCAL,8320,159327,0.05221964889817796,11046,241406,0.045756940589711935
2021-10-08 00:00:00,Época Cosméticos e Maquiagens,SHOPPING,31619,302965,0.10436519069859555,22181,285847,0.0775974559816965
2021-10-08 00:00:00,Extra: Loja Online e Ofertas,SHOPPING,235243,2875232,0.08181704989371293,254793,2909000,0.08758783086971468
2021-10-08 00:00:00,"Hurb: Hotéis, Resorts e Pacotes de Viagem",TRAVEL_AND_LOCAL,102905,986574,0.1043054043589229,113699,960983,0.1183153083873492
2021-10-08 00:00:00,iFood Delivery de Comida,FOOD_AND_DRINK,4431645,24060332,0.18418885491688144,3905988,23722450,0.16465365086658418
2021-10-08 00:00:00,Inter: conta digital completa,FINANCE,2433147,8161182,0.29813659344933124,2252830,8399570,0.26820777730288575
2021-10-08 00:00:00,"James Delivery: Entrega de Mercado, Farmácia e +",FOOD_AND_DRINK,18941,189986,0.09969681976566694,17643,196421,0.08982237133504055
2021-10-08 00:00:00,Loja C&A: Comprar roupa e mais,SHOPPING,262490,2587260,0.10145482093025053,265124,2347295,0.112948734607282
2021-10-08 00:00:00,Lojas Marisa: Roupas e Sapatos,SHOPPING,240287,1951829,0.1231086329796309,249284,1823522,0.13670468467065383
2021-10-08 00:00:00,Lojas Renner - Comprar Roupas,SHOPPING,801296,4704476,0.17032630201535728,763840,4565104,0.16732148928041946
2021-10-08 00:00:00,McDonald’s: Cupons e Delivery,FOOD_AND_DRINK,505356,6056574,0.08343925129949704,458316,5917351,0.07745290079969905
2021-10-08 00:00:00,Mercado Livre: Compras Online,SHOPPING,16598598,70486447,0.2354863765512255,14749370,61491778,0.23985922150437738
2021-10-08 00:00:00,Netshoes: Loja de Esportes,SHOPPING,519790,3838914,0.13540027205610752,501267,3930307,0.1275388920000397
